,samples,energies
0,[3 4 1 9 0 2],6.9137577607403244e-12
1,[4 2 0 6 8 2],6.3032810082575e-09
2,[7 2 0 4 5 9],0.0002907022717408836
3,[5 6 1 0 3 8],3.4003683115763073e-12
4,[2 6 5 4 2 2],8.103462345587786e-12
5,[3 8 8 9 5 0],8.064757195391792e-12
6,[8 3 3 3 3 8],4.961856348018046e-07
7,[3 1 6 4 1 5],2.395902356511215e-07
8,[2 0 9 2 2 6],7.219816922088285e-08
9,[2 4 3 3 5 8],0.00016321506700478494
10,[2 3 6 5 2 7],4.869273197982693e-06
11,[5 8 9 7 6 2],0.00025947552057914436
12,[3 4 6 4 4 6],0.0003135864099022001
13,[5 8 2 4 8 0],6.503642069333182e-11
14,[5 1 6 3 3 6],7.296028343262151e-05
15,[4 9 4 4 6 1],1.3654980479671508e-09
16,[3 3 7 3 3 7],0.0004725476901512593
17,[0 0 6 3 3 7],4.928966124140288e-10
18,[4 8 7 6 6 0],4.743960779762801e-10
19,[3 2 5 4 3 7],3.7299089399311924e-06
20,[3 0 8 8 1 8],3.131445282633649e-06
21,[8 8 4 5 3 6],0.020790139213204384
22,[2 3 9 7 5 3],1.994672402361175e-06
23,[2 0 2 2 9 6],8.264705031457709e-10
24,[4 4 0 9 3 7],4.914081159768102e-07
