index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
0,sfgfn,1,0.6870624423027039,,1600,,,0,1
1,sfgfn,1,0.7799203991889954,,3200,,,1,1
2,sfgfn,1,0.8116878867149353,,4800,,,2,1
3,sfgfn,1,0.8116878867149353,,6400,,,3,1
4,sfgfn,1,0.8334685564041138,,8000,,,4,1
5,sfgfn,1,0.8334685564041138,,9600,,,5,1
6,sfgfn,1,0.8554323315620422,,11200,,,6,1
7,sfgfn,1,0.8861246705055237,,12800,,,7,1
8,sfgfn,1,0.8861246705055237,,14400,,,8,1
9,sfgfn,1,0.8902454972267151,,16000,,,9,1
10,sfgfn,1,0.6053684949874878,0.6053685069084167,1600,0.1397767489402201,1,0,10
11,sfgfn,1,0.7006796002388,0.700679612159729,3200,0.142499704183208,1,1,10
12,sfgfn,1,0.7459977269172668,0.7459977149963379,4800,0.12998274023834816,1,2,10
13,sfgfn,1,0.7716180086135864,0.771618002653122,6400,0.15014407250864745,1,3,10
14,sfgfn,1,0.8064689636230469,0.8064688861370086,8000,0.13883346531869176,1,4,10
15,sfgfn,1,0.8165851831436157,0.816585099697113,9600,0.16178388461111423,1,5,10
16,sfgfn,1,0.8307361602783203,0.8307361364364624,11200,0.1520242121724995,1,6,10
17,sfgfn,1,0.8642798662185669,0.8642798483371734,12800,0.1852165124807412,1,7,10
18,sfgfn,1,0.8676737546920776,0.8676737844944,14400,0.1910429896036237,1,8,10
19,sfgfn,1,0.8804003596305847,0.8804003059864044,16000,0.18535803830865838,1,9,10
20,sfgfn,1,0.470071017742157,0.2873088663816452,1600,0.13846281133038071,1,0,50
21,sfgfn,1,0.575998842716217,0.5733786034584045,3200,0.13348278495678473,1,1,50
22,sfgfn,1,0.6541028022766113,0.6541028118133545,4800,0.13184367055929233,1,2,50
23,sfgfn,1,0.6945497989654541,0.6945497465133667,6400,0.13532991246120854,1,3,50
24,sfgfn,1,0.7559636831283569,0.7559591615200043,8000,0.14704270947948284,1,4,50
25,sfgfn,1,0.781755268573761,0.7812748301029205,9600,0.1462906253890889,1,5,50
26,sfgfn,1,0.7957119941711426,0.7956215512752532,11200,0.14370106799786078,1,6,50
27,sfgfn,1,0.8278663754463196,0.8271825695037842,12800,0.15684085655036417,1,7,50
28,sfgfn,1,0.8400366902351379,0.8398072397708893,14400,0.15919646241918153,1,8,50
29,sfgfn,1,0.8575791120529175,0.8570509493350983,16000,0.16947088999637955,1,9,50
30,sfgfn,1,0.470071017742157,0.1436544331908226,1600,0.13846281133038071,1,0,100
31,sfgfn,1,0.5209680795669556,0.3138852727413177,3200,0.1376696640128968,1,1,100
32,sfgfn,1,0.5552767515182495,0.5040999758243561,4800,0.1329689374746903,1,2,100
33,sfgfn,1,0.6245306134223938,0.6235694941878319,6400,0.12945461437641032,1,3,100
34,sfgfn,1,0.6956250071525574,0.6918694126605988,8000,0.1339024943583925,1,4,100
35,sfgfn,1,0.740834653377533,0.7362577599287033,9600,0.142721944583698,1,5,100
36,sfgfn,1,0.7695516347885132,0.7685887163877487,11200,0.14434338742118946,1,6,100
37,sfgfn,1,0.7992566823959351,0.7980073517560959,12800,0.14889624580375138,1,7,100
38,sfgfn,1,0.8166787624359131,0.8161233353614807,14400,0.14967850371996702,1,8,100
39,sfgfn,1,0.8369409441947937,0.8357432425022125,16000,0.15870106532293607,1,9,100
40,sfgfn,1,0.470071017742157,0.0718272165954113,1600,0.13846281133038071,1,0,200
41,sfgfn,1,0.5209680795669556,0.15694263637065886,3200,0.1376696640128968,1,1,200
42,sfgfn,1,0.5552767515182495,0.25204998791217803,4800,0.1329689374746903,1,2,200
43,sfgfn,1,0.5678791999816895,0.34565054044127463,6400,0.14205492108523354,1,3,200
44,sfgfn,1,0.6022325754165649,0.44823218330740927,8000,0.14074311028980957,1,4,200
45,sfgfn,1,0.6255695223808289,0.5558449718356132,9600,0.14019976991514535,1,5,200
46,sfgfn,1,0.6818298101425171,0.6705086593329906,11200,0.13243557166656142,1,6,200
47,sfgfn,1,0.7325137257575989,0.723888920545578,12800,0.13716533552203547,1,7,200
48,sfgfn,1,0.7685865759849548,0.7635061207413674,14400,0.14311430925729782,1,8,200
49,sfgfn,1,0.7966845631599426,0.7926878428459168,16000,0.14945585756598304,1,9,200
50,mf_random,1,0.8430375456809998,,16.0,,,0,1
51,mf_random,1,0.8430375456809998,,180.5,,,1,1
52,mf_random,1,0.8430375456809998,,493.5,,,2,1
53,mf_random,1,0.8430375456809998,,905.5,,,3,1
54,mf_random,1,0.8430375456809998,,921.5,,,4,1
55,mf_random,1,0.8430375456809998,,1135.5,,,5,1
56,mf_random,1,0.8430375456809998,,1151.5,,,6,1
57,mf_random,1,0.8430375456809998,,1167.5,,,7,1
58,mf_random,1,0.8430375456809998,,1183.5,,,8,1
59,mf_random,1,0.8430375456809998,,1199.5,,,9,1
60,mf_random,1,0.8551760315895081,,1215.5,,,10,1
61,mf_random,1,0.7404917180538177,0.7404917180538177,16.0,0.15141736790354202,0,0,10
62,mf_random,1,0.7778900444507599,0.7778900444507599,180.5,0.14650130643901435,0,1,10
63,mf_random,1,0.7965544998645783,0.7965544998645783,493.5,0.13886876678939944,0,2,10
64,mf_random,1,0.8008231580257416,0.8008231580257416,905.5,0.14080339847069717,0,3,10
65,mf_random,1,0.8008231580257416,0.8008231580257416,921.5,0.14080339847069717,0,4,10
66,mf_random,1,0.8008231580257416,0.8008231580257416,1135.5,0.14080339847069717,0,5,10
67,mf_random,1,0.8008231580257416,0.8008231580257416,1151.5,0.14080339847069717,0,6,10
68,mf_random,1,0.8014111638069152,0.8014111638069152,1167.5,0.14824571582224413,0,7,10
69,mf_random,1,0.8066623687744141,0.8066623687744141,1183.5,0.15881772240048003,1,8,10
70,mf_random,1,0.8072982013225556,0.8072982013225556,1199.5,0.16108862508014118,1,9,10
71,mf_random,1,0.8151185095310212,0.8151185095310212,1215.5,0.16735745942176578,1,10,10
72,mf_random,1,0.46929359110072255,0.2580289450287819,16.0,0.24895663483143818,1,0,50
73,mf_random,1,0.5551200112700463,0.5084259444475174,180.5,0.15336928729756363,1,1,50
74,mf_random,1,0.6712937319278717,0.6650118887424469,493.5,0.14491733354957112,1,2,50
75,mf_random,1,0.7022546625137329,0.6989268779754638,905.5,0.1462047039380952,1,3,50
76,mf_random,1,0.7109309458732604,0.7042998838424682,921.5,0.14914110155537605,1,4,50
77,mf_random,1,0.7204450678825378,0.7146177244186401,1135.5,0.14984191125224283,1,5,50
78,mf_random,1,0.7236010801792144,0.718097734451294,1151.5,0.14915228749652965,1,6,50
79,mf_random,1,0.7342879784107208,0.7289889991283417,1167.5,0.1482866602324862,1,7,50
80,mf_random,1,0.7423420035839081,0.7366990208625793,1183.5,0.14976149161599767,1,8,50
81,mf_random,1,0.7460094261169433,0.7412337434291839,1199.5,0.15080561379027574,1,9,50
82,mf_random,1,0.7503346431255341,0.7448224556446076,1215.5,0.15147222848803324,1,10,50
83,mf_random,1,0.46929359110072255,0.12901447251439094,16.0,0.24895663483143818,1,0,100
84,mf_random,1,0.47809195006266236,0.2542129722237587,180.5,0.21471916928499013,1,1,100
85,mf_random,1,0.49909015915667015,0.39051196426153184,493.5,0.19872442637169996,1,2,100
86,mf_random,1,0.5840938049554825,0.4989634785056114,905.5,0.1535919938550386,1,3,100
87,mf_random,1,0.6406086826324463,0.6160648608207703,921.5,0.14492938016695045,1,4,100
88,mf_random,1,0.6638973951339722,0.6535427808761597,1135.5,0.1469823049066519,1,5,100
89,mf_random,1,0.6694715660810471,0.658727485537529,1151.5,0.14591458988409925,1,6,100
90,mf_random,1,0.6825260466337204,0.6746152460575103,1167.5,0.1473219659985795,1,7,100
91,mf_random,1,0.6940595597028733,0.6844019901752472,1183.5,0.14678855402723223,1,8,100
92,mf_random,1,0.6989969956874847,0.689948450922966,1199.5,0.14852383354395024,1,9,100
