index,method,seed,energy,cost,diversity,round,k
0,sf,1,0.9971180574096437,30,,0,1
1,sf,1,0.4808085908742896,60,,1,1
2,sf,1,0.4808085908742896,90,,2,1
3,sf,1,0.4083965598785184,120,,3,1
4,sf,1,0.4083965598785184,139,,4,1
5,sf,1,0.4083965598785184,169,,5,1
6,sf,1,0.4083965598785184,174,,6,1
7,sf,1,0.4083965598785184,204,,7,1
8,sf,1,0.4083965598785184,213,,8,1
9,sf,1,0.4083965598785184,217,,9,1
10,sf,1,7.228484887952581,30,,0,10
11,sf,1,0.9484495176734017,60,,1,10
12,sf,1,0.9055896902282348,90,,2,10
13,sf,1,0.5121860127766314,120,,3,10
14,sf,1,0.5121860127766314,139,,4,10
15,sf,1,0.5121860127766314,169,,5,10
16,sf,1,0.5121860127766314,174,,6,10
17,sf,1,0.47228423318823615,204,,7,10
18,sf,1,0.47228423318823615,213,,8,10
19,sf,1,0.4599280057551855,217,,9,10
20,sf,1,34.86035820732672,30,,0,50
21,sf,1,7.774031394654035,60,,1,50
22,sf,1,2.9885696116183986,90,,2,50
23,sf,1,1.1162358356269173,120,,3,50
24,sf,1,1.1162358356269173,139,,4,50
25,sf,1,1.0842843144078371,169,,5,50
26,sf,1,1.0842843144078371,174,,6,50
27,sf,1,0.8076684614582618,204,,7,50
28,sf,1,0.8076684614582618,213,,8,50
29,sf,1,0.7689615924469044,217,,9,50
30,sf,2,0.4206921588824475,30,,0,1
31,sf,2,0.4206921588824475,60,,1,1
32,sf,2,0.4206921588824475,90,,2,1
33,sf,2,0.4083965598785184,95,,3,1
34,sf,2,0.4083965598785184,125,,4,1
35,sf,2,0.4083965598785184,155,,5,1
36,sf,2,0.4083965598785184,185,,6,1
37,sf,2,0.4083965598785184,215,,7,1
38,sf,2,0.4064893353695389,225,,8,1
39,sf,2,0.4064893353695389,241,,9,1
40,sf,2,4.304303541075327,30,,0,10
41,sf,2,0.9896601010766737,60,,1,10
42,sf,2,0.9214936392767654,90,,2,10
43,sf,2,0.7879830541016467,95,,3,10
44,sf,2,0.7816543342240203,125,,4,10
45,sf,2,0.7816543342240203,155,,5,10
46,sf,2,0.7723833154554505,185,,6,10
47,sf,2,0.48206407118355443,215,,7,10
48,sf,2,0.43955264695851104,225,,8,10
49,sf,2,0.43955264695851104,241,,9,10
50,sf,2,22.10228088858918,30,,0,50
51,sf,2,8.239663040007798,60,,1,50
52,sf,2,3.613234800971083,90,,2,50
53,sf,2,2.4871695100196103,95,,3,50
54,sf,2,1.9509355318899093,125,,4,50
55,sf,2,1.9509355318899093,155,,5,50
56,sf,2,1.4997761540744787,185,,6,50
57,sf,2,1.1121842843659355,215,,7,50
58,sf,2,0.681134820838374,225,,8,50
59,sf,2,0.681134820838374,241,,9,50
60,sf,3,2.9513150551964076,30,,0,1
61,sf,3,0.5896994140805685,60,,1,1
62,sf,3,0.5896994140805685,90,,2,1
63,sf,3,0.4588450387659968,120,,3,1
64,sf,3,0.4335637112060855,150,,4,1
65,sf,3,0.4030711223019736,180,,5,1
66,sf,3,0.4030711223019736,194,,6,1
67,sf,3,0.4030711223019736,217,,7,1
68,sf,3,0.4030711223019736,239,,8,1
69,sf,3,0.4030711223019736,262,,9,1
70,sf,3,0.4030711223019736,292,,10,1
71,sf,3,9.680095557822375,30,,0,10
72,sf,3,2.1071745202863887,60,,1,10
73,sf,3,2.0963292860313856,90,,2,10
74,sf,3,0.7466868603127358,120,,3,10
75,sf,3,0.5626915288048396,150,,4,10
76,sf,3,0.48577637291657005,180,,5,10
77,sf,3,0.48577637291657005,194,,6,10
78,sf,3,0.4445718113044281,217,,7,10
79,sf,3,0.4445718113044281,239,,8,10
80,sf,3,0.4281497394240059,262,,9,10
81,sf,3,0.4276980607257288,292,,10,10
82,sf,3,34.10128502403708,30,,0,50
83,sf,3,11.067847373144245,60,,1,50
84,sf,3,4.719877856835968,90,,2,50
85,sf,3,2.850784113331646,120,,3,50
86,sf,3,1.316923953234967,150,,4,50
87,sf,3,1.1447595134699515,180,,5,50
88,sf,3,1.1447595134699515,194,,6,50
89,sf,3,0.6736969560276556,217,,7,50
90,sf,3,0.6652393280846561,239,,8,50
91,sf,3,0.5916056144553492,262,,9,50
92,sf,3,0.5388835636227922,292,,10,50
93,mf_random,1,277.1899689018929,10.199999999999998,,0,1
94,mf_random,1,277.1899689018929,20.4,,1,1
95,mf_random,1,273.45813248113234,31.409999999999997,,2,1
96,mf_random,1,269.81747322010415,44.309999999999995,,3,1
97,mf_random,1,165.43353796542243,53.42999999999999,,4,1
98,mf_random,1,165.43353796542243,65.42999999999999,,5,1
99,mf_random,1,165.43353796542243,74.46,,6,1
100,mf_random,1,165.43353796542243,86.46,,7,1
101,mf_random,1,165.43353796542243,95.49,,8,1
102,mf_random,1,165.43353796542243,108.47999999999999,,9,1
103,mf_random,1,165.43353796542243,119.57999999999998,,10,1
104,mf_random,1,165.43353796542243,129.77999999999997,,11,1
105,mf_random,1,165.43353796542243,139.97999999999996,,12,1
106,mf_random,1,165.43353796542243,152.06999999999996,,13,1
107,mf_random,1,165.43353796542243,163.16999999999996,,14,1
108,mf_random,1,165.43353796542243,174.26999999999995,,15,1
109,mf_random,1,165.43353796542243,183.47999999999996,,16,1
110,mf_random,1,165.43353796542243,195.47999999999996,,17,1
111,mf_random,1,165.43353796542243,207.47999999999996,,18,1
112,mf_random,1,165.43353796542243,219.47999999999996,,19,1
113,mf_random,1,165.43353796542243,230.66999999999996,,20,1
114,mf_random,1,165.43353796542243,240.95999999999995,,21,1
115,mf_random,1,165.43353796542243,250.07999999999996,,22,1
116,mf_random,1,165.43353796542243,261.27,,23,1
117,mf_random,1,165.43353796542243,272.19,,24,1
118,mf_random,1,165.43353796542243,282.48,,25,1
119,mf_random,1,165.43353796542243,292.59000000000003,,26,1
120,mf_random,1,165.43353796542243,303.69000000000005,,27,1
121,mf_random,1,165.43353796542243,315.78000000000003,,28,1
122,mf_random,1,165.43353796542243,326.88000000000005,,29,1
123,mf_random,1,165.43353796542243,336.99000000000007,,30,1
124,mf_random,1,165.43353796542243,347.01000000000005,,31,1
125,mf_random,1,165.43353796542243,359.01000000000005,,32,1
126,mf_random,1,165.43353796542243,369.21000000000004,,33,1
127,mf_random,1,165.43353796542243,381.12000000000006,,34,1
128,mf_random,1,165.43353796542243,392.2200000000001,,35,1
129,mf_random,1,165.43353796542243,403.3200000000001,,36,1
130,mf_random,1,165.43353796542243,413.5200000000001,,37,1
131,mf_random,1,165.43353796542243,425.4300000000001,,38,1
132,mf_random,1,165.43353796542243,435.72000000000014,,39,1
133,mf_random,1,165.43353796542243,445.83000000000015,,40,1
134,mf_random,1,165.43353796542243,456.03000000000014,,41,1
135,mf_random,1,165.43353796542243,466.0500000000001,,42,1
136,mf_random,1,165.43353796542243,476.4300000000001,,43,1
137,mf_random,1,165.43353796542243,487.53000000000014,,44,1
138,mf_random,1,165.43353796542243,497.73000000000013,,45,1
139,mf_random,1,165.43353796542243,508.7400000000001,,46,1
140,mf_random,1,165.43353796542243,517.6800000000002,,47,1
141,mf_random,1,165.43353796542243,527.7900000000002,,48,1
142,mf_random,1,165.43353796542243,537.0900000000001,,49,1
