index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
0,sfgfn,1,5.7070136,,602,,,0,1
1,sfgfn,1,5.7070136,,1337,,,1,1
2,sfgfn,1,5.7070136,,1750,,,2,1
3,sfgfn,1,5.7070136,,2380,,,3,1
4,sfgfn,1,5.9305434,,3010,,,4,1
5,sfgfn,1,7.1419144,,3570,,,5,1
6,sfgfn,1,7.1419144,,4144,,,6,1
7,sfgfn,1,7.434349,,4851,,,7,1
8,sfgfn,1,7.434349,,5523,,,8,1
9,sfgfn,1,7.434349,,6125,,,9,1
10,sfgfn,1,4.0541005,4.054100203514099,602,0.043208333680498895,10,0,10
11,sfgfn,1,4.366363,4.0618000507354735,1337,0.15981560831177688,7,1,10
12,sfgfn,1,4.4102516,4.196899366378784,1750,0.153523384811442,7,2,10
13,sfgfn,1,4.6422057,4.438516163825989,2380,0.3455801267875572,5,3,10
14,sfgfn,1,4.843554,4.80531907081604,3010,0.09422560896750311,8,4,10
15,sfgfn,1,5.1210413,5.121040868759155,3570,0.03942287281225526,10,5,10
16,sfgfn,1,5.141085,5.141084909439087,4144,0.04581195342456978,10,6,10
17,sfgfn,1,5.436047,5.436046600341797,4851,0.04710014760158556,10,7,10
18,sfgfn,1,5.436047,5.436046600341797,5523,0.04710014760158556,10,8,10
19,sfgfn,1,5.7551847,5.755184316635132,6125,0.06317749688523663,10,9,10
20,sfgfn,1,2.5179887,2.5168502163887023,602,0.041773556139987345,49,0,50
21,sfgfn,1,2.9835248,2.802908391952515,1337,0.056666011058010585,44,1,50
22,sfgfn,1,3.2075205,3.0611125087738036,1750,0.05557214614860713,44,2,50
23,sfgfn,1,3.5245397,3.345182890892029,2380,0.06453850750310526,43,3,50
24,sfgfn,1,3.8102567,3.6302018976211547,3010,0.06447005020476854,44,4,50
25,sfgfn,1,4.0670233,3.85895742893219,3570,0.07689672938718069,42,5,50
26,sfgfn,1,4.191863,3.9793096351623536,4144,0.08041405927644045,41,6,50
27,sfgfn,1,4.296602,4.102556490898133,4851,0.08455225492885317,40,7,50
28,sfgfn,1,4.3734713,4.181434531211853,5523,0.09334690132797141,39,8,50
29,sfgfn,1,4.5134916,4.333269801139831,6125,0.09793070424704313,39,9,50
30,sfgfn,1,1.5930411,1.3771618485823274,602,0.0411605147845798,84,0,100
31,sfgfn,1,2.320764,2.1392069846391677,1337,0.05183977252208082,87,1,100
32,sfgfn,1,2.6501858,2.474761462211609,1750,0.05959917005786791,78,2,100
33,sfgfn,1,2.9657164,2.7493285083770753,2380,0.0678722039471354,75,3,100
34,sfgfn,1,3.2106335,3.0327525210380553,3010,0.06989152753317615,78,4,100
35,sfgfn,1,3.4494534,3.2475760483741762,3570,0.07085940759659295,81,5,100
36,sfgfn,1,3.584236,3.3980529069900514,4144,0.06857436189213505,82,6,100
37,sfgfn,1,3.7131805,3.5394776940345762,4851,0.06549365236454119,85,7,100
38,sfgfn,1,3.813677,3.6445979642868043,5523,0.0677023277519664,80,8,100
39,sfgfn,1,3.9432824,3.780041162967682,6125,0.06842216105565055,82,9,100
40,sfgfn,1,0.862842,0.5678806448169053,602,0.03592116940287291,106,0,200
41,sfgfn,1,1.4408716,0.8569883553124964,1337,0.0460787729192998,142,1,200
42,sfgfn,1,1.9736388,1.5618322834395804,1750,0.04880620720358116,145,2,200
43,sfgfn,1,2.3653994,1.9690198501944542,2380,0.058485593684352744,139,3,200
44,sfgfn,1,2.6547449,2.372008950710297,3010,0.06885648868498458,141,4,200
45,sfgfn,1,2.8579054,2.5931844890117643,3570,0.076559292168442,142,5,200
46,sfgfn,1,2.9960806,2.7548559218645097,4144,0.08891157383328221,130,6,200
47,sfgfn,1,3.118291,2.9181291276216506,4851,0.08872176260958539,138,7,200
48,sfgfn,1,3.2466102,3.0607148170471192,5523,0.06374092412821523,161,8,200
49,sfgfn,1,3.388144,3.2121888077259064,6125,0.061379276001292137,161,9,200
50,sfgfn,2,5.4402347,,644,,,0,1
51,sfgfn,2,5.81149,,1288,,,1,1
52,sfgfn,2,11.184106,,2009,,,2,1
53,sfgfn,2,11.184106,,2674,,,3,1
54,sfgfn,2,11.184106,,3318,,,4,1
55,sfgfn,2,3.701919,3.7019192934036256,644,0.046849223253550655,10,0,10
56,sfgfn,2,4.501105,4.402946209907531,1288,0.05511998113234444,9,1,10
57,sfgfn,2,5.639113,5.59782862663269,2009,0.05960259164092395,9,2,10
58,sfgfn,2,6.0931387,6.093138551712036,2674,0.05898537547887244,10,3,10
59,sfgfn,2,6.2856455,6.285645341873169,3318,0.06844857581295792,10,4,10
60,sfgfn,2,2.0721118,2.0000012135505676,644,0.05540847386959688,44,0,50
61,sfgfn,2,2.8998477,2.824227955341339,1288,0.06610840150528176,43,1,50
62,sfgfn,2,3.4506314,3.4061546087265016,2009,0.05533996063777847,47,2,50
63,sfgfn,2,3.7879825,3.7489418983459473,2674,0.051482977923838734,48,3,50
64,sfgfn,2,4.0981627,4.057316379547119,3318,0.056552823276862056,47,4,50
65,sfgfn,2,1.2164961,0.7120180082973093,644,0.04687169176471942,82,0,100
66,sfgfn,2,2.219321,2.0852991104125977,1288,0.05103188313527893,83,1,100
67,sfgfn,2,2.7586384,2.6571824049949644,2009,0.05539307964098792,85,2,100
68,sfgfn,2,3.0801468,2.9882458460330965,2674,0.06584510886187038,79,3,100
69,sfgfn,2,3.3627465,3.30978413105011,3318,0.06187616254620521,88,4,100
70,sfgfn,2,0.1755982,0.35600900414865466,644,0.0370783779650221,95,0,200
71,sfgfn,2,1.3847225,0.8995816591242328,1288,0.043298662159651995,145,1,200
72,sfgfn,2,2.0360804,1.7676395560847595,2009,0.04593942204445626,156,2,200
73,sfgfn,2,2.4203167,2.208928950726986,2674,0.051704390198048976,156,3,200
74,sfgfn,2,2.7220016,2.5885216110944747,3318,0.056909385139170446,160,4,200
75,sfgfn,3,6.257353,,658,,,0,1
76,sfgfn,3,6.257353,,1155,,,1,1
77,sfgfn,3,7.0183897,,1820,,,2,1
78,sfgfn,3,7.0183897,,2534,,,3,1
79,sfgfn,3,7.3358493,,3129,,,4,1
80,sfgfn,3,7.3358493,,3787,,,5,1
81,sfgfn,3,7.3358493,,4522,,,6,1
82,sfgfn,3,3.8935325,3.7368731260299684,658,0.0549308908069961,9,0,10
83,sfgfn,3,4.197281,4.016838502883911,1155,0.09413661679875863,8,1,10
84,sfgfn,3,5.0457926,4.843325424194336,1820,0.1744909499466585,7,2,10
85,sfgfn,3,5.155027,5.002371788024902,2534,0.26238494737540824,6,3,10
86,sfgfn,3,5.8564625,5.856462478637695,3129,0.06501300093344735,10,4,10
87,sfgfn,3,5.871957,5.871956634521484,3787,0.0712855556650301,10,5,10
88,sfgfn,3,6.1470213,6.147021150588989,4522,0.08052766767600693,10,6,10
89,sfgfn,3,2.4051795,2.3032762575149537,658,0.04897268425581467,45,0,50
90,sfgfn,3,3.022707,2.9360503244400022,1155,0.04781012201176255,46,1,50
91,sfgfn,3,3.5056994,3.399834785461426,1820,0.048877027207109486,47,2,50
92,sfgfn,3,3.7332053,3.6049058055877685,2534,0.053062377658831,46,3,50
93,sfgfn,3,4.089978,3.988031792640686,3129,0.05395106880889159,46,4,50
94,sfgfn,3,4.149546,4.047511501312256,3787,0.05731219652959532,45,5,50
95,sfgfn,3,4.390005,4.309530072212219,4522,0.06078950843436021,45,6,50
96,sfgfn,3,1.476186,0.9275571772456169,658,0.04487570687867035,81,0,100
97,sfgfn,3,2.508181,2.3949856078624725,1155,0.052784073677277034,88,1,100
98,sfgfn,3,2.9385672,2.8576596665382383,1820,0.04725852478022392,92,2,100
99,sfgfn,3,3.1560404,3.0693115186691284,2534,0.051035705938192996,92,3,100
100,sfgfn,3,3.4628747,3.388603971004486,3129,0.050201700286336005,95,4,100
101,sfgfn,3,3.5575042,3.480384204387665,3787,0.05264888917617816,95,5,100
102,sfgfn,3,3.7549658,3.681409866809845,4522,0.05566233851161815,94,6,100
103,sfgfn,3,0.46564525,0.46377858862280846,658,0.03659471607330482,95,0,200
104,sfgfn,3,1.7044846,1.2133522862906103,1155,0.04398258499036695,158,1,200
105,sfgfn,3,2.3301873,2.1345465916395185,1820,0.05140951337360717,161,2,200
106,sfgfn,3,2.598075,2.4545354360342024,2534,0.05160558383231419,165,3,200
107,sfgfn,3,2.8821225,2.7765010941028594,3129,0.053628504414128475,165,4,200
108,sfgfn,3,2.9914923,2.8945629239082336,3787,0.056271626385177125,163,5,200
109,sfgfn,3,3.1489587,3.071876919269562,4522,0.057894038245194665,169,6,200
110,mf_random,1,4.4871755,,500.0,,,0,1
111,mf_random,1,4.4871755,,1044.5,,,1,1
112,mf_random,1,4.4871755,,1534.5,,,2,1
113,mf_random,1,4.4871755,,2008.5,,,3,1
114,mf_random,1,4.6978717,,2450.0,,,4,1
115,mf_random,1,4.6978717,,2979.0,,,5,1
116,mf_random,1,4.6978717,,3451.5,,,6,1
117,mf_random,1,4.763182,,3930.0,,,7,1
118,mf_random,1,4.763182,,4401.5,,,8,1
119,mf_random,1,4.763182,,4888.5,,,9,1
120,mf_random,1,5.3279157,,5200.5,,,10,1
121,mf_random,1,5.3279157,,5714.0,,,11,1
122,mf_random,1,5.8764653,,6278.0,,,12,1
123,mf_random,1,5.8764653,,6735.5,,,13,1
124,mf_random,1,5.8764653,,7218.0,,,14,1
125,mf_random,1,5.8764653,,7674.5,,,15,1
126,mf_random,1,5.8764653,,8159.0,,,16,1
127,mf_random,1,5.8764653,,8654.0,,,17,1
128,mf_random,1,5.8764653,,9035.5,,,18,1
129,mf_random,1,5.8764653,,9561.5,,,19,1
130,mf_random,1,5.8764653,,10016.5,,,20,1
131,mf_random,1,5.8764653,,10542.5,,,21,1
