index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
0,sfgfn,1,3.9520292,,581,,,0,1
1,sfgfn,1,3.9520292,,1274,,,1,1
2,sfgfn,1,2.230157,,1939,,,2,1
3,sfgfn,1,2.230157,,2765,,,3,1
4,sfgfn,1,2.230157,,3423,,,4,1
5,sfgfn,1,2.230157,,4165,,,5,1
6,sfgfn,1,2.230157,,4949,,,6,1
7,sfgfn,1,2.230157,,5607,,,7,1
8,sfgfn,1,2.230157,,6454,,,8,1
9,sfgfn,1,1.6380985,,7168,,,9,1
10,sfgfn,1,6.5889115,6.588911247253418,581,0.032451723256929424,10,0,10
11,sfgfn,1,6.1725135,6.17251353263855,1274,0.03702135735010997,10,1,10
12,sfgfn,1,4.6886907,4.688690567016602,1939,0.04116649095761109,10,2,10
13,sfgfn,1,4.5392833,4.539283561706543,2765,0.04426803295253726,10,3,10
14,sfgfn,1,4.137538,4.13753821849823,3423,0.05976052105727261,10,4,10
15,sfgfn,1,3.9537666,3.9537664890289306,4165,0.058292136248794695,10,5,10
16,sfgfn,1,3.881998,3.8819982051849364,4949,0.052500278191931385,10,6,10
17,sfgfn,1,3.8033893,3.80338933467865,5607,0.057224931102961125,10,7,10
18,sfgfn,1,3.6749566,3.674956750869751,6454,0.07679882805010897,10,8,10
19,sfgfn,1,3.1599038,3.1599037647247314,7168,0.06575657842488741,10,9,10
20,sfgfn,1,7.8178616,7.8409555149078365,581,0.03623075614916227,47,0,50
21,sfgfn,1,7.327719,7.345115032196045,1274,0.04186635118427662,48,1,50
22,sfgfn,1,6.2221894,6.222189903259277,1939,0.04587548516830582,50,2,50
23,sfgfn,1,6.1266766,6.126676664352417,2765,0.04468650905152222,50,3,50
24,sfgfn,1,5.742451,5.74245180606842,3423,0.05032323789955881,50,4,50
25,sfgfn,1,5.3987412,5.398741493225097,4165,0.0510792599417283,50,5,50
26,sfgfn,1,5.1716356,5.171635599136352,4949,0.048715647242684595,50,6,50
27,sfgfn,1,5.0277367,5.027736735343933,5607,0.04896767539951757,50,7,50
28,sfgfn,1,4.692162,4.692161645889282,6454,0.0522173079081541,50,8,50
29,sfgfn,1,4.4458833,4.445883293151855,7168,0.053202292793664,50,9,50
30,sfgfn,1,8.681748,8.74557490825653,581,0.03916195570138523,78,0,100
31,sfgfn,1,7.9661646,8.02739345550537,1274,0.03733740379823943,89,1,100
32,sfgfn,1,6.920268,6.926404438018799,1939,0.03988971389526761,98,2,100
33,sfgfn,1,6.7936387,6.795567750930786,2765,0.04019868762080997,98,3,100
34,sfgfn,1,6.3927517,6.392752335071564,3423,0.04531626718630087,100,4,100
35,sfgfn,1,6.0279436,6.027942862510681,4165,0.04690378241507307,100,5,100
36,sfgfn,1,5.799063,5.799063529968262,4949,0.05057910325211165,100,6,100
37,sfgfn,1,5.644089,5.64408988237381,5607,0.050902485055495515,100,7,100
38,sfgfn,1,5.3480797,5.348080077171326,6454,0.053766438003667025,100,8,100
39,sfgfn,1,5.1345787,5.134578971862793,7168,0.05521662931667289,100,9,100
40,sfgfn,1,9.357414,4.372787454128265,581,0.033864048745805474,96,0,200
41,sfgfn,1,8.933861,7.453501968383789,1274,0.039850780649869945,139,1,200
42,sfgfn,1,7.8215675,7.914763255119324,1939,0.0346855474743217,176,2,200
43,sfgfn,1,7.565317,7.603327717781067,2765,0.03432822867150271,187,3,200
44,sfgfn,1,7.1235847,7.134977866411209,3423,0.03780885571167471,194,4,200
45,sfgfn,1,6.7353106,6.739745626449585,4165,0.04052286654196863,197,5,200
46,sfgfn,1,6.456206,6.457173111438752,4949,0.04393766302838497,199,6,200
47,sfgfn,1,6.220069,6.220068863630295,5607,0.04686567165539873,200,7,200
48,sfgfn,1,5.94232,5.9423202443122864,6454,0.051123069943202135,200,8,200
49,sfgfn,1,5.7544236,5.754423701763153,7168,0.053542970096107284,200,9,200
50,mf_random,1,5.8103967,,530.0,,,0,1
51,mf_random,1,5.8103967,,974.5,,,1,1
52,mf_random,1,3.4178662,,1489.5,,,2,1
53,mf_random,1,3.4178662,,1909.5,,,3,1
54,mf_random,1,3.4178662,,2412.0,,,4,1
55,mf_random,1,3.4178662,,2851.0,,,5,1
56,mf_random,1,3.4178662,,3359.5,,,6,1
57,mf_random,1,3.4178662,,3814.0,,,7,1
58,mf_random,1,3.4178662,,4293.5,,,8,1
59,mf_random,1,3.4178662,,4818.5,,,9,1
60,mf_random,1,3.4178662,,5346.5,,,10,1
61,mf_random,1,3.4178662,,5847.5,,,11,1
62,mf_random,1,3.4178662,,6349.0,,,12,1
63,mf_random,1,3.4178662,,6858.5,,,13,1
64,mf_random,1,3.4178662,,7325.5,,,14,1
65,mf_random,1,3.4178662,,7844.5,,,15,1
66,mf_random,1,3.4178662,,8303.0,,,16,1
67,mf_random,1,3.4178662,,8812.5,,,17,1
68,mf_random,1,3.4178662,,9285.0,,,18,1
69,mf_random,1,3.4178662,,9769.0,,,19,1
70,mf_random,1,3.4178662,,10260.0,,,20,1
71,mf_random,1,3.4178662,,10746.0,,,21,1
72,mf_random,1,3.4178662,,11248.0,,,22,1
73,mf_random,1,3.4178662,,11759.5,,,23,1
74,mf_random,1,3.4178662,,12252.0,,,24,1
75,mf_random,1,3.4178662,,12718.5,,,25,1
76,mf_random,1,3.4178662,,13222.0,,,26,1
77,mf_random,1,3.4178662,,13705.0,,,27,1
78,mf_random,1,3.4178662,,14176.5,,,28,1
79,mf_random,1,3.4178662,,14692.5,,,29,1
80,mf_random,1,3.4178662,,15205.5,,,30,1
81,mf_random,1,3.4178662,,15712.0,,,31,1
82,mf_random,1,3.4178662,,16232.0,,,32,1
83,mf_random,1,3.4178662,,16697.0,,,33,1
84,mf_random,1,3.4178662,,17154.0,,,34,1
85,mf_random,1,3.4178662,,17644.0,,,35,1
86,mf_random,1,3.4178662,,18142.5,,,36,1
87,mf_random,1,3.4178662,,18592.0,,,37,1
88,mf_random,1,3.4178662,,19147.0,,,38,1
89,mf_random,1,3.4178662,,19626.0,,,39,1
90,mf_random,1,3.4178662,,20115.5,,,40,1
91,mf_random,1,7.1851335,7.18513298034668,530.0,0.06739105615987445,10,0,10
92,mf_random,1,6.9840155,6.9840155124664305,974.5,0.04937019958201421,10,1,10
93,mf_random,1,6.4084535,6.408453559875488,1489.5,0.05589133054546306,10,2,10
94,mf_random,1,6.221368,6.221368074417114,1909.5,0.05225629820276914,10,3,10
95,mf_random,1,5.9156876,5.915687561035156,2412.0,0.04392154001167892,10,4,10
96,mf_random,1,5.7526655,5.75266580581665,2851.0,0.041158923899472774,10,5,10
97,mf_random,1,5.314287,5.314287090301514,3359.5,0.04691568672101912,10,6,10
98,mf_random,1,5.314287,5.314287090301514,3814.0,0.04691568672101912,10,7,10
99,mf_random,1,5.1927385,5.192738723754883,4293.5,0.048945925392976326,10,8,10
100,mf_random,1,5.134921,5.134921264648438,4818.5,0.0576529836262344,10,9,10
101,mf_random,1,5.134921,5.134921264648438,5346.5,0.0576529836262344,10,10,10
102,mf_random,1,5.134921,5.134921264648438,5847.5,0.0576529836262344,10,11,10
103,mf_random,1,5.0495224,5.049521970748901,6349.0,0.06646532513404048,10,12,10
