samples,energies
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][O][C][=Branch1][C][=O][C][Ring1][P][=C][Ring2][Ring1][Branch1];0,0.8782
[N][C][=C][C][=C][C][=N][Ring1][=Branch1];0,-1.3309
[N][#C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P][C][=C][Branch1][=Branch2][C][=C][Branch1][Ring1][C][#N][C][#N][C][Ring2][Ring1][N];0,2.2396
[C][C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][N][C][#N][C][=C][N][Ring2][Ring1][Ring1][C][=C][N][=C][S][C][=N][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N];0,2.5275
[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C];0,0.3458
[C][=C][C][=C][C][=C][Ring1][=Branch1];0,-1.9413
[C][O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Ring1][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring2][Ring1][Branch1];0,-0.1357
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[C][C][N][=C][Branch1][=N][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][O][N][C][=Ring1][=N][C][C][C][C][Ring1][=Branch1];0,-1.1895
[O][=C][C][=C][C][=C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N];0,2.1491
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1];0,-1.9335
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[C][C][=C][C][=C][C][Branch1][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][Ring1][=Branch2][=C][Ring1][=C][O][Ring1][P];0,-0.5912
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][C][=N][S][N][=C][Ring2][Ring1][Ring1][Ring1][Branch1][C][=C][Ring2][Ring1][=Branch2];0,1.2316
[O][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2];0,1.5125
[O][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2];0,-1.1818
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O];0,-1.909
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][N][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1][O][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][O];0,1.3809
[Br][C][=N][C][=N][C][=N][C][=N][C][Branch2][Ring2][Ring1][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][N][=C][Ring1][=Branch1][Ring1][#Branch2][=N][C][=Branch1][Branch1][=N][Ring2][Ring2][Ring2][N][Ring2][Ring2][Ring1][Ring2][Ring1][#C];0,2.3568
[O][=C][O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][N][=C][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1];0,1.4379
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[C][C][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C];0,1.0596
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1];0,1.5918
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][#C][C][#C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring1][S];0,0.2113
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][Ring1][=Branch2][=C][Ring1][=N];0,0.3058
[C][O][C][=Branch1][C][=O][C][Branch2][Ring1][=Branch2][C][C][=C][C][=C][O][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=N][C][Ring1][O][=C][Ring1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C];0,1.1273
[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1];0,-1.9837
[C][C][Branch1][C][C][C][C][C][C][N][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch2][=O];0,0.4612
[C][=C][S][C][Branch2][Ring1][#Branch1][C][=C][N][=C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][C][=N][O][N][=C][Ring1][=C][Ring1][Branch1][=C][Ring2][Ring1][Ring1];0,2.0225
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch1][Ring1][C][#N][C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][C][=C][Ring1][N][N][Ring1][P][N][C][=C][C][=C][Ring1][Branch1][=C][Ring2][Ring2][Ring1][C][#N];0,2.4358
