,samples,energies
0,[N][#C][C][=C][C][=C][C][C][=C][NH1][C][Ring1][=Branch2][=Ring1][Branch1],8.257499923075219
1,[Br][C][C][=C][C][=N][S][N][=C][Ring1][Branch1][C][=Ring1][=Branch2][C][C][=C][O][C][=Ring1][Branch1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2],7.504054593611149
2,[C][O][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][N],6.610217220122128
3,[N][#C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],8.276299799707136
4,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][N],6.1060034531799525
5,[C][O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C][=C][Ring1][=Branch2][O],8.038704326773221
6,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][S][C][=C][C][=C][Branch2][Ring1][Ring2][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1][=C][C][=C][Ring2][Ring1][=Branch2][Ring2][Ring2][C],6.608894219405898
7,[C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=Branch1][C][=N][O][C][Ring1][=Branch2][=C][Ring1][#C],7.886250327647875
8,[O][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],7.63087355150603
9,[C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],7.304721495123281
10,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],8.723533685458605
11,[O][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=C][Ring1][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],7.211602192314735
12,[O][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][=C][C][C][C][N][Ring1][Branch2][C][C][C][Ring1][N],7.50822205160356
13,[C][=C][C][=C][C][Branch2][Ring1][O][C][=C][C][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][=N][C][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][=C][Ring1][S][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring2][Ring1][#Branch2][=C][Ring2][Ring1][=C],6.923471065122677
14,[O][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],7.569610734243986
15,[O][=S][=Branch1][C][=O][Branch1][C][O][C][=C][C][=C][C][=C][C][=C][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P][Ring1][=N],6.897299566270536
16,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],7.825580229808025
17,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],8.029034263583466
18,[C][C][=Branch1][C][=O][C][C][=C][N][C][=C][Branch2][Ring1][Branch1][C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][Ring1][N][C][=Ring1][S][C][N][Branch2][Ring1][C][C][C][C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][Ring2][Ring1][#Branch2][=O],7.089945501385924
19,[C][=C][C][=C][Branch2][Branch1][C][N][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch2][Ring1][#Branch2][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1][=N][Ring2][Ring1][=C][C][=C][Ring2][Ring2][Branch1],6.412901427425974
20,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],8.723533685458605
